essay_id,grade,essay_topic,essay_text,dyslexic_flag,score_1,score_2,score_3,avg_score,rubric_score_language,rubric_score_content,rubric_score_relevance,total_score,normalized_score,baseline_score
G3_001,3,අම්මා ,"මගෙ අම්මාගේ නම මාරි. අම්මා මට පාසල් වැඩ කියා දෙයි. ඇය පාන්දරින්ම අවදි වී මා හට පාසල් ගෙන යාම සදහා ආහාර පිළියෙල කර දෙයි. අම්මා මා පාසල් අවසන් වී ගෙදර එන තුරු මඟ බලා සිටියි. අම්මා හරි ආදරෙයි මමත් අම්මාට ආදරෙයි.
",False,,,,,,,,,,28.96
G3_002,3,ගං වතුර,"තදින් වහින කොට ඇළ දොළ වෙල් පිරෙනවා. ඒ වතුර ගඟට යන කොට ගඟ පිරිලා උතුරනවා. ගඟේ වතුර දෙගොඩ තලා යනකොට ගංවතුර එනවා. ඉස්සර වෙලා වෙල් යට වෙනවා.
පහත් බිම් යට වෙනවා.
පාරවල් යට වෙනවා.
පාරවල්වල වාහන ගමන් නවතිනවා.
පාසල් වැහෙනවා.
ගෙවල් දොරවල් වතුරට යට වෙනවා.
යට වු ගෙවල්වල අය පන්සල්වලට පාසල් වලට එක් රොක් වෙනවා. බෝට්ටු වලින් යටවු ගෙවල්වල මිනිස්සුන්ට ආණ්ඩුවෙන් කෑම පාර්සල් දෙනවා. සමිති සමාගම් වලින් ද කෑම බීම සපයනවා.
කුඹුරු ගං වතුරට යට වී කුණු වෙනවා.
ගව, එළු, කුකුලු සතුන්ගේ
එළවළු කොටුද යට වෙනවා.
ලෙඩ දුක් ඇති වෙනවා.
කොටු යට වෙනවා.
ගං වතුර බැස ගිය විට ඉඩම් සරුවෙනවා.
ළිංවල වතුර අපිරිසිදු වෙනවා.
බොහෝ දෙනකුට පාඩු සිදු වෙනවා.
සමහරු කෙහෙල් කොට වලින් පාරු සාදාගෙන ගංවතුරේ සවාරි යනවා.
",False,,,,,,,,,,56.95
G3_003,3,ජලය ,"ජලය හැම කෙනෙකුටම නැතිවම බැරිය. ආහාර නැතුව අපට දින කිහිපයක් සිටින්නට පුලුවන. ජලය නැතිව දවසක්වත් සිටිය නොහැක. බීමට නෑමට රෙදි සේදීමට ජලය ඕනෑ වෙනවා. කෑම පිසිමට ද ජලය ඕනෑ වෙනවා.
සතා සිව්පාවටත් බීමට ජලය ඕනෑ වෙනවා. ගස් කොළන් වලටත් ජලය නැතුව බැරිය. ගොවිතැන් වලටද ජලය ඕනෑ වෙනවා. ජලය නැතිව කුඹුරු වගා කරන්ට බැහැ.
ගෙදර මල් පොච්චි වලටත් ජලය ඕනෑ.
ගෙදර වත්තේ කුරුල්ලන්ගේ බේසමටත් වතුර නැතිව බැහැ. කුඩුවේ සිටින බලු පැටවාටත් ජලය ඕනෑ.
අප්පච්චීගේ කාරෙක සෝදන්නට ජලය භොගක් ඕනෑ
අප්පච්චීගේ එළවළු කොටුවටද ජලය හැමදාම ඕනෑ.
ජලය නැති නම් මල් වේලෙනවා.
ජලය නැති වෙන කොට විදුලියත් නැති වෙනවා. කර්මාන්තශාලා වලටද ජලය ඕනෑ.
ජලය මදි වෙන කොට කම්හල් වහනවා.
කැලැවේ සතුන්ට ජලය නැති වෙන කොට උන් මැරෙනවා. ජලය නැතිදාට ලෝකයම විනාස්‍යයි.
ඒ නිසා ජලය පිරි මහ ගෙන පාවිච්චි කරන්ට ඕනෑ. හුඟ දෙනෙක් ජලය නාස්ති කරනවා.
",False,,,,,,,,,,58.14
G3_004,3,කිරි මාමා,"
කිරි මාමා පාන්දරට අප අවදි කරනවා.
හිමිදිරි පාන්දර ගේට්ටුව ලඟට විත් සීනුව ගහනවා.
අම්මා ගේට්ටුව ළඟට
ගොස් කිරි බෝතලය ගන්නවා.
මම උදේන්ම කිරි වීදුරුවක් බොනවා.
උදේට කිරි බීවාම ඇඟට සනීපයක් දැනෙනවා.
එළකිරි හොඳ ආහාරයක් කියලා ගුරුතුමිය අපිට කියා දීලා තියෙනවා.
කිරි බොන කොට ළපටි අපේ ඇඟ පත වැඩෙනවා.
බොහෝ ලෙඩ රෝග වලින් මා බේරෙන්නේ කිරි බොන හින්දයි අම්මා කියනවා. උදේට කිරි ටිකක් බී ධාන්ය වර්ගයක් කෑවාම හොඳ පෝෂණයක් ඇඟට ලැබෙනවා. එතකොට හොඳ නිරෝගී ශරීරයක් ලැබෙනවා.
නිරෝගී ශරීරයක් ලැබීම වාසනාවකි.
මන්ද පෝෂණය මන්ද මානසිකත්වයට හේතුවකි.
දිනපතා කිරි බීමෙන් මන්ද පෝෂණය හා මන්ද මානසිකත්වය නැති වෙනවා.
පුළුවන්නම් උදේට හැම කෙනෙක්ම කිරි වීදුරුවක් බොන එක හොදයි.
එළකිරි ලැබෙන්නේ එළදෙන ගෙනි.
එළදෙනට කිරි අම්මා කියන්නේ ඒ නිසයි.
",False,,,,,,,,,,56.5
G3_005,3,පිරිසිඳුකම ,"පිරිසිඳුකම නැති නිසා ලෙඩ රෝග සෑදෙනවා. අපේ ඇග පත පිරිසිඳු නැත්තම් ලෙඩ වැඩිය. අපේ ඇදුම් පිරිසිඳු නැත්තම් ඒත් ලෙඩය. අපිරිසිඳු ඇදුම් අදින කොට අපව කාටත් එපා අපිරිසිඳු වතුර බොනකොටත් ලෙඩ රෝග පාචනය, අතීසාරය අපිරිසිඳු වතුරෙන් බෝ වෙනවා. කෑම අපිරිසිඳු නම් අසනීප හැදෙනවා.
පිරිසිඳුකම හැම දේකම තියෙන්න ඕනෑ.
ගෙවල් දොරවල් පිරිසිඳු වෙන්න ඕනෑ.
බෝ වෙනවා.
ගෙවත්ත පිරිසිඳුව තබා ගන්න ඕනෑ. මදුරුවෝ ඇති වෙන්නේ අපිරිසිඳුකම නිසයි. අපිරිසිඳුකමට හේතුව ටින් කබල්, තැබිලි කෝම්බ ආදියයි. ඒවායේ මදුරුවෝ ඇති වෙනවා.
අප කන හැම දේම පිරිසිඳු වෙන්න ඕනෑ. අපේ දත් නියපොතු පිරිසිඳු වෙන්නම ඕනෑ ඒවා ලෙඩ ඇති කරන තැන්ය.
දවසට දෙවරක් දත් මදින්න ඕනෑ.
එවිට දත් පිරිසිඳු වෙනවා.
ගෙදර කන
බොන පිඟන් කෝප්ප පිරිසිඳු වෙන්නම ඕනෑ
නිදා ගන්න කොට්ට මෙට්ට ඇද ඇතිරිලිද පිරිසිදු වෙන්නම ඕනෑ.
පිරිසිඳුකම නැති තැන පිළිකුල ඇති වෙනවා.
දත් මැද නියපොතු කපා පිරිසිඳු ඇදුම් අදින ළමයාට කවුරුත් ආදරෙයි.
",False,,,,,,,,,,61.68
G4_001,4,Hene palaka rayak,"අපේ ලොකු මාමා මොනරාගල බුත්තල පදිංචිව සිටි.මෙවර නත්තල් නිවාඩුවට අපි බුත්තල ගියෙමු. අපේ ලොකු මාමාගේ ජීවනෝපාය ගොවිතැනයි. වී ගොවි තැනට අමතරව මාමා හේනක් ද වවයි.
මාමාගේ හේන මහ මුකලාන අද්දර පිහිටා ඇත. දඬු වැටින් වට වූ හේනේ පැළ ගසක් උඩ දෙබලක තනා ඇත. එයට ගොඩ වීමට ලණු ඉනිමගක්ද තනා ඇත.
මගේ බලවත් පෙරැත්තය නිසා ලොකු මාමා දිනක මා හේනට කැටුව ගියේය. ඇදිරි වැටීගෙන එද්දි මම මාමාත් සමග හේනට ගියෙමි. ලණු ඉනිමග දිගේ අපි පැලට ගොඩ වුනෙමු.
පළමුවෙන් මාමා පැල අතු ගා පිරිසිදු කලේය. ඉන් අනතුරුව හකුළා බැඳ තිබු හෙවන් පැදුර දිග හැර මට වාඩිවීමට කීවේය. මාමා පහලින් දර කොට කැබලි කිහිපයක් ද පැලට ගෙනාවේය.
කළුවර වැටීගෙන එද්දි මාමා "" හරිකේන් ලාම්පු "" දල්වා පැලේ කෙළවර එල්ලා තැබුවේය. ඉන් පසු කෑලි තුනේ විදුලි පන්දමට බැටරි දමා සකස් කලේය. ගිණි මැලය දැල්වුයේ තරමක් රෑ බෝ වූ පසු මදුරු කන්කෙඳිරිය ඇසෙන විටය.
නැන්දා හදා දුන් බත් මුල ලිහා ගෙන අපි අනුභව කලෙමු. දැන් හද අහසේ මෝදු වෙමින් පවතී. මාමා මා හට නිදිමත නම් නිදා ගන්නට කීවේය. එහෙත් නිදිමන අහලකවත් නොවූ මම හේන පිපිසිසාරා බලන්නට වුනෙමි.
හේනේ යායේ අනෙක් හේන් වල දල්වා ඇති එළි මට පෙනේ. ඒව කළාමැදිරි එළි හා සමානය. අවට හේන්වල ගොවියෝ අඬහැර පාමින් පැල්කවි ගායනා කලහ.
මාමා වහලේ සගවා තිබු බට නළාව ගෙන වාදනය කරන්නට විය. වස්දඬු රාවය හේන් යාය පුරා ප්රතිරාව නඟන්නට වූයේය.
මාමා හදිස්සියේම නැගිසිට විදුලි පන්දම හිසේ සවිකර ගත්තේය. අතට ගත් තුවක්කුව මාන ගෙන හේන වටා පිරික් සන්නට විය. "" අන්න පුතේ වල් ඌරෙක් හේනට රිංගන්න හදනවා "" මාමා ටෝච් එළියෙන් මට උරෙකු පෙන්නුවේය. "" දැන් මාමා උගට වෙඩි තියාවි "" යයි මට සිතුනත් මාමා රතිඤඤා කරලක් දල්වා ඒ ඉසව්වට විසික් කලේය. රෑ මැද මාමා කිරි ඉරිගු බිඳ පුළුස්සා කෑමට දුන්නේය. හෙනේ පැලේ ගෙවු රැය සදා අමතක නොවේ
",False,,,,,,,,,,100.0
G4_002,4,ධර්මපාලතුමා,"විදේශිකයන්ට යටත්ව තිබු අපේ රට නිදහස් නිවහල් රාජයක් බවට පත් කර ගැනීමට වෙහෙස මහන්සි වූ උගත්තු රැසක් වෙති. ඉන් ධර්මපාලතුමාද ප්‍රමුඛ මෙහෙවරක් කල අයෙකි.ඩෙවිඩ් යනුවෙන් තම උප්පැන්නේ ලියා තිබු නම ධර්මපාල යනුවෙන් වෙනස් කර ගනිමින් අපේ බොදු හැකියාව හා දේශයේ උරුම වෙනුවෙන් පෙනි සිටියේය.
පරම විඥානර්ත සංගමයේ ක්‍රියාකාරිකයෙකු වූ එතුමා රට වටා ඇවිදමින් සිංහල බෞද්ධ ජනතාවට ආගම හා ජාතියේ වටිනාකම දේශනා කළේය.
අනාන්ද වැනි බෞද්ධ පාසල් අරම්භ කිරීමට එතුමා ගත් වෙහෙසට උපකාරයක් ලෙස ධර්මපාල නමින් විදුහල් රැසක් අපේ රටේ පවතී.
ඉන්දියාවේ මහා බෝධි සංගමය පිහිටුවා ගත් එතුමා බුදු රාජාණන් වැඩ සිටි තැන් ආරක්ෂා කිරීමට පියවර ගත්තේය. අවිවාහකව ජීවත් වූ එතුමා අනගාරික ධර්මපාල තුමා නමින් හඳුන් වනු ලැබීය. පසුව සිරි දේවමිත්ත නමින් පැවදිව සිට ඉන්දියාවේ බුද්ධගයාවෙදී උන්වහන්සේ අපවත් වූ සේක.
එතුමා වෙනුවෙන් සැම වසරකම දම්පල් දිනය සමරා ගුණ සමරු උත්සව අනුගාමිකයෝ පවත්වති.
",False,,,,,,,,,,66.46
G4_003,4, මුහුදු වෙරළ,"අපේ ගමට සුන්දර මුහුදු වෙරළක් තිබේ. මුහුදු වෙරළ ඉතා දැකුම් කළු දර්ශන මවයි. අපේ ගම පිහිටා තිබෙන්නේ බස්නාහිර පළාතේ නිසා ඉර බැස යන්නේ මුහුදෙනි.
ඉර බැස යන සැන්දෑ යාමට අපේ මුහුදු වෙරළ විසිතුරු වෙයි. සයුර දෙසට බර වු පොල් රූප්පාව වෙරළ සීමාව දක්වයි. මුහුදු රළ බිදි සේදී යන වැල්ල තඹ පාටින් දිලිසෙයි.
වැල්ල පුරා විසිරි ඇති කවඩි සහ සිප්පි කටු ඇහිදීමට ළමයි කැමැත්තෝය. මුහුදු වෙරළේ සෙල්ලම් කරන අපි වැලි මාලිගා තනමු. සමහර විට අප හැදු නිර්මාණ ඇසිල්ලකින් රළ ගෙඩියකට මැකී යයි.
වෙරළේ සිට ඇත බැලූ විට දියඹේ පාවෙන නැවක්
හෝ ඔරුවක් ඉතා කුඩාවට අපට පෙනෙයි. අහපි
හා මුහුද ගෑවෙන සීමාව ක්ෂිතිජය බව අපේ තාත්තා කීවේය.
මහ හඬින් බිඳෙන රළගෙඩිවල සමුද්‍ර ඝෝෂව විදින්නත්, රළ පාගා වෙරළේ සෙල්ලම් කිරීමටත්. සමුද්‍ර ජීවින් ගැන ඉගෙන ගන්නත් අපේ වෙරළට සංචාරය කරන්න.
",False,,,,,,,,,,62.26
G4_004,4,යාල,"වන සතුනට නිදහසේ ජීවත් වීමට වෙන් කල භූමිය අභය භූමියක් ලෙස සැලකේ. ශ්‍රි ලංකාවේ අභය භූමි අතරින් රුහුණු යාල අභය භූමිය සුවිශේෂී වැදගත් කමක් උසුලයි.
දකුණු පලාත, නැගෙනහිර පලාත හා උවෙ පලාතට මායිම්වන යාල අභය භුමියේ එක් මායිමක් නැගෙනහිර වෙරළ තීරය වේ. ස්වාභාවික වනන්තරය තුල නිදහසේ වන සතුන්ට ජීවත් වීමට ඇති අයිතිය අණ පණත් මගින්ම සහතික කොට ආරක්ෂා කොට තිබේ.
යාල අභය භූමිය සංචාරයේ යෙදෙන්නට මහජනතාවට අවසර ඇත. ඒ සදහා වන ජීවි සංරක්ෂන දෙපාර්තුමේන්තුවේ අවසර ලබා ගත යුතුය. යාල අභය භූමිය තුල සංචාරය කිරීමේදී සිංචරකයින්ට මග පෙන්වන්නෙකු ලබා දේ.
යාල අභය භූමිය තුල අලි ඇත්තු සුලභව සිටියි. එමෙන්න ශ්රී ලංකාවට විශේෂ වූ දිවියන් හා කොටින්ද වල් උරෙන්, වලසුන්, මුවන්, ගෝනුන්, වදුරන් වැනි සියුපා සතුන් යාල අභය භූමියේදී දැක බලා ගත හැකිය.
කුමණ යාල අභය භූමිය හා සම්බන්ධ කුරුළු පාරදීසයයි. දේශිය කුරුළු වර්ග මෙන්ම පර්යටන කුරුළු වර්ග රැසක් යාල අභය භූමිය තුල සිටිති. කුරුල්ලන් අතර මොනරා යාලදි දැක ගත හැකි සුලභ පක්ෂියෙකි.
යාල අභය භූමිය තුල සංචාරකයින් සදහා නේවාසික පහසුකම් සපයා ඇත. යාල අභය භූමියේ වැවක් විල්ලුවක් අසලට වී සතුන්ගේ නිදහස් හැසිරීම අධ්යනය කිරීම කොතරම් සොදුරුද.
",False,,,,,,,,,,76.26
G5_001,5,මගෙ ගුරුතුමි,"මගෙ ගුරුතුමිගේ නම මිස් ඩිලානි. ඇය මගෙ පන්තිභාර ගුරුතුමියයි. ඇය පැරයි, ඒ වගේම හරි හොදයි. ඇය අපට පාඩම් කියාදිමට හරි දක්ශයි. ඇය අපට ලස්සන සින්දුද කියා දෙයි. ඇය අපට රස කැම ගෙනත් දෙයි ඇයගේ උපන්දිනයට හා විශේශ උත්සව අවස්තාවලදී. පාඩම් අවසානයෙදි ඇය අපගෙන් ප්‍රශ්න අසයි. මගෙ ගොඩාක් යාලුවෝ ඇයට ගොඩක් කැමතියි. ඇය හරි ආදරනියයි. අපි සැවොම ඇයට සුබ අනාගතයක් පතනවා.
",False,,,,,,,,,,37.1
